0,Mom,Home,ADD
3,Ipilov,Park,ADD
9,Yocuyax,Bus,ADD
13,Ino,Park,ADD
15,Kanib,Park,ADD
18,Aqajoq,Park,ADD
27,Nitope,Park,ADD
33,Fiv,Park,ADD
38,Bul,Park,ADD
52,Zop,Park,ADD
54,Ehufac,Park,ADD
59,Oheciya,Park,ADD
59,Ifud,Park,ADD
62,Itab,Park,ADD
64,Luqo,Park,ADD
70,Eebud,Bus,ADD
70,Afese,Bus,ADD
75,Eloy,Park,ADD
78,Eaqego,Park,ADD
79,Dacij,Park,ADD
88,Igebeni,Park,ADD
103,Uicuqa,Park,ADD
104,Pajidoj,Park,ADD
106,Afuta,Park,ADD
113,Iwuvoj,Park,ADD
114,Esini,Park,ADD
115,Haqad,Park,ADD
120,Ricux,Park,ADD
120,Zuteye,Park,ADD
125,Wew,Park,ADD
131,Ufena,Park,ADD
146,Asa,Park,ADD
148,Wozogiq,Park,ADD
150,Ehega,Park,ADD
151,Uka,Park,ADD
154,Iwuq,Park,ADD
154,Iduhono,Park,ADD
157,Iwun,Park,ADD
168,Iacom,Bus,ADD
184,Ofiyiku,Park,ADD
191,Ozic,Bus,ADD
193,Apizone,Park,ADD
197,Euf,Bus,ADD
201,Ideba,Park,ADD
203,Eoma,Bus,ADD
203,Edof,Park,ADD
205,Roqi,Park,ADD
206,Uje,Park,ADD
206,Eozu,Park,ADD
210,Ieniwav,Park,ADD
214,Ahihe,Park,ADD
216,Yiwi,Park,ADD
217,Ceyaxi,Park,ADD
218,Aodurad,Park,ADD
226,Oumoj,Park,ADD
228,Ugevul,Bus,ADD
232,Newoyu,Park,ADD
234,Dahip,Park,ADD
241,Aloneq,Park,ADD
243,Elodifi,Park,ADD
250,Oyezuzu,Park,ADD
250,Oyezuzu,Park,ADD
251,Ecedixo,Park,ADD
254,Atedezo,Park,ADD
256,Iusit,Park,ADD
256,Iusit,Park,ADD
264,Ululu,Park,ADD
265,Eekumo,Park,ADD
268,Oanoxov,Park,ADD
277,Dakoqoc,Park,ADD
280,Aanaji,Park,ADD
282,Azuvezo,Park,ADD
284,Eaxucif,Park,ADD
288,Efaj,Park,ADD
288,Uozidu,Park,ADD
291,Eugu,Park,ADD
298,Ejezus,Park,ADD
302,Udono,Park,ADD
308,Oes,Park,ADD
314,Izeje,Park,ADD
314,Eefay,Park,ADD
314,Eofeziy,Park,ADD
323,Acube,Park,ADD
324,Ufupoza,Bus,ADD
331,Ejegep,Park,ADD
336,Xeko,Park,ADD
336,Itarexa,Park,ADD
337,Foceref,Park,ADD
341,Uasu,Park,ADD
346,Uka,Home,111,REM
349,Aaxorox,Park,ADD
352,Iokoma,Park,ADD
353,Acasew,Park,ADD
355,Vixov,Park,ADD
356,Oqajes,Bus,ADD
358,Uvuh,Park,ADD
358,Ooviwas,Park,ADD
359,Ahuney,Park,ADD
361,Oamube,Park,ADD
